价格,新车价,行驶时间,公里数,保养方式,使用类型,所在地,环境标准,年检到期日,保险到期日,depre,city,miles,years,y
6.5,9.22,0个月,0.05万公里,4S店定期保养,非营运车,昆明,国5,2019年10月,2018年10月,0.704989154013,km,0.05,0.0,0.871170296594
45.8,100.95,4年11个月,4.70万公里,4S店定期保养,非营运车,昆明,欧4,2018年11月,2017年11月,0.453689945518,km,4.7,4.33333333333,-0.185772654579
0.89,3.67,7年11个月,6.80万公里,4S店定期保养,非营运车,昆明,"国3,OBD",2017年11月,2017年11月,0.242506811989,km,6.8,7.58333333333,-1.13898474396
14.8,28.2,4年10个月,8.00万公里,4S店定期保养,非营运车,昆明,国4,2018年12月,2017年12月,0.524822695035,km,8.0,4.33333333333,0.0993724738132
22.5,60.79,6年3个月,7.00万公里,4S店定期保养,非营运车,昆明,国4,2018年07月,2018年07月,0.37012666557,km,7.0,6.5,-0.531673456279
5.82,8.02,2年3个月,2.20万公里,4S店定期保养,非营运车,昆明,"国4,OBD,国5",2018年07月,2018年07月,0.725685785536,km,2.2,2.16666666667,0.972842901379
7.8,13.66,3年10个月,7.60万公里,4S店定期保养,非营运车,昆明,"国4,京5",2017年12月,2017年12月,0.571010248902,km,7.6,3.25,0.285974130107
13.68,25.38,6年9个月,6.10万公里,非4S店定期保养,非营运车,昆明,国4,2018年01月,2018年01月,0.539007092199,km,6.1,6.5,0.156346070391
4.5,18.43,9年10个月,8.50万公里,非4S店定期保养,非营运车,昆明,国4,2017年12月,2017年12月,0.244167118828,km,8.5,9.75,-1.12996739102
28.56,34.52,2年2个月,1.00万公里,4S店定期保养,非营运车,昆明,欧5,2017年09月,2017年09月,0.827346465817,km,1.0,2.16666666667,1.56693665639
13.6,30.81,5年8个月,6.81万公里,无定期保养,非营运车,昆明,欧4,2017年11月,2017年11月,0.441415124959,km,6.81,5.41666666667,-0.235420817481
11.16,26.03,6年4个月,6.20万公里,4S店定期保养,非营运车,昆明,国4,2018年06月,2018年06月,0.428736073761,km,6.2,6.5,-0.287009803519
35.8,46.41,5个月,1.20万公里,4S店定期保养,非营运车,昆明,国5,2019年05月,2018年05月,0.771385477268,km,1.2,5.41666666667,1.21615094078
7.9,11.27,2年8个月,1.71万公里,无定期保养,非营运车,昆明,"国4,京5",2017年10月,2017年10月,0.700976042591,km,1.71,2.16666666667,0.851950015109
12.5,22.88,3年5个月,4.10万公里,无定期保养,非营运车,昆明,"国4,OBD",2017年11月,2017年11月,0.546328671329,km,4.1,3.25,0.185847766571
6.88,13.01,4年4个月,5.20万公里,无定期保养,非营运车,昆明,国4,2017年11月,2017年11月,0.528823981553,km,5.2,4.33333333333,0.115423901997
6.1,8.66,1年9个月,1.00万公里,非4S店定期保养,非营运车,昆明,"欧4,OBD",2018年01月,2018年01月,0.704387990762,km,1.0,1.08333333333,0.868281512688
15.68,37.45,6年9个月,6.80万公里,无定期保养,非营运车,昆明,国4,2017年10月,2017年10月,0.418691588785,km,6.8,6.5,-0.328146860324
18.04,31.47,2年3个月,3.10万公里,4S店定期保养,非营运车,昆明,"国4,国5",2018年07月,2018年07月,0.573244359708,km,3.1,2.16666666667,0.295100504099
9.3,28.63,8年9个月,8.70万公里,4S店定期保养,非营运车,昆明,国3,2018年01月,2018年01月,0.324834090115,km,8.7,8.66666666667,-0.731643893061
5.6,17.35,8年8个月,6.60万公里,4S店定期保养,非营运车,昆明,国4,2018年02月,2018年02月,0.322766570605,km,6.6,8.66666666667,-0.741086642849
9.78,14.85,2年1个月,2.10万公里,4S店定期保养,非营运车,昆明,,2018年09月,2018年09月,0.658585858586,km,2.1,2.16666666667,0.656998666444
7.8,11.92,3年10个月,3.40万公里,非4S店定期保养,非营运车,昆明,国4,2017年12月,2017年12月,0.654362416107,km,3.4,3.25,0.638270570334
5.8,8.66,3年8个月,3.20万公里,4S店定期保养,非营运车,昆明,国5,2018年02月,2019年02月,0.66974595843,km,3.2,3.25,0.707036292721
8.8,11.91,1年5个月,0.54万公里,无定期保养,非营运车,昆明,国5,2017年10月,2017年10月,0.738874895046,km,0.54,1.08333333333,1.04012899529
36.0,49.93,2年8个月,2.40万公里,4S店定期保养,非营运车,昆明,欧4,2019年02月,2019年02月,0.721009413178,km,2.4,2.16666666667,0.949474150664
11.98,28.21,5年11个月,7.17万公里,无定期保养,非营运车,昆明,国4,2017年11月,2017年11月,0.424672102091,km,7.17,5.41666666667,-0.303622788839
52.8,80.11,2年2个月,2.90万公里,4S店定期保养,非营运车,昆明,- -,2017年08月,2017年08月,0.659093746099,km,2.9,2.16666666667,0.659258255227
4.88,8.67,2年8个月,2.70万公里,4S店定期保养,非营运车,昆明,国4,2018年02月,2018年02月,0.562860438293,km,2.7,2.16666666667,0.252779200771
41.38,46.65,2个月,0.20万公里,4S店定期保养,非营运车,昆明,"国4,国5",2018年08月,2018年08月,0.887031082529,km,0.2,2.16666666667,2.06076730976
12.3,17.35,3年8个月,3.70万公里,非4S店定期保养,非营运车,昆明,"国4,国5",2018年01月,2018年01月,0.708933717579,km,3.7,3.25,0.890211019091
5.25,6.49,1年6个月,0.90万公里,4S店定期保养,非营运车,昆明,"国4,国5",2018年04月,2019年04月,0.808936825886,km,0.9,1.08333333333,1.44311669699
66.0,100.08,5年4个月,6.90万公里,4S店定期保养,非营运车,昆明,欧4,2018年02月,已到期,0.659472422062,km,6.9,5.41666666667,0.660944040065
18.0,61.65,9年2个月,9.20万公里,无定期保养,非营运车,昆明,欧4,2017年11月,2017年11月,0.29197080292,km,9.2,9.75,-0.885831524389
11.08,19.52,2年10个月,2.70万公里,4S店定期保养,非营运车,昆明,"OBD,国5",2018年12月,2017年12月,0.56762295082,km,2.7,2.16666666667,0.272159372711
5.96,12.46,5年7个月,4.60万公里,4S店定期保养,非营运车,昆明,国4,2018年03月,2019年03月,0.478330658106,km,4.6,5.41666666667,-0.0867316958243
2.6,8.66,8年2个月,7.00万公里,非4S店定期保养,非营运车,昆明,国3,2018年08月,2017年09月,0.300230946882,km,7.0,8.66666666667,-0.846198355054
15.0,18.44,1年9个月,1.80万公里,4S店定期保养,非营运车,昆明,国5,2019年01月,2018年04月,0.813449023861,km,1.8,1.08333333333,1.47257872972
5.75,22.66,9年1个月,9.20万公里,4S店定期保养,非营运车,昆明,国3,2018年09月,2018年09月,0.253751103266,km,9.2,9.75,-1.0787053081
8.36,11.28,1年2个月,1.32万公里,无定期保养,非营运车,昆明,国5,2017年10月,2017年10月,0.741134751773,km,1.32,1.08333333333,1.05187481082
7.95,13.98,3年11个月,4.00万公里,4S店定期保养,非营运车,昆明,"国4,国5",2017年11月,2017年11月,0.568669527897,km,4.0,3.25,0.276424917927
4.16,7.79,4年,4.10万公里,4S店定期保养,非营运车,昆明,"国4,OBD,国5",2017年10月,2017年10月,0.534017971759,km,4.1,4.33333333333,0.136282425996
6.88,13.01,3年5个月,4.81万公里,无定期保养,非营运车,昆明,国4,2017年10月,2017年10月,0.528823981553,km,4.81,3.25,0.115423901997
7.56,19.53,8年6个月,8.60万公里,4S店定期保养,非营运车,昆明,国4,2018年04月,2018年04月,0.387096774194,km,8.6,8.66666666667,-0.459532329378
2.3,18.11,12年3个月,9.00万公里,非4S店定期保养,非营运车,昆明,国2,已到期,已到期,0.127001656543,km,9.0,1.08333333333,-1.92773352829
6.5,12.35,4年1个月,4.20万公里,非4S店定期保养,非营运车,昆明,国4,2018年01月,2018年01月,0.526315789474,km,4.2,4.33333333333,0.105360515658
13.8,40.14,7年2个月,13.45万公里,无定期保养,非营运车,昆明,国4,2017年10月,2017年10月,0.34379671151,km,13.45,7.58333333333,-0.646420104152
13.8,84.67,12年,12.30万公里,无定期保养,非营运车,昆明,欧4,2017年11月,2017年11月,0.162985709224,km,12.3,1.08333333333,-1.63617862066
20.8,30.05,2年1个月,1.80万公里,4S店定期保养,非营运车,昆明,国5,2018年01月,2018年01月,0.692179700499,km,1.8,2.16666666667,0.810329435183
6.4,13.66,3年1个月,3.20万公里,非4S店定期保养,非营运车,昆明,国4,2018年09月,2017年09月,0.468521229868,km,3.2,3.25,-0.126081838471
22.0,36.8,4年,2.67万公里,4S店定期保养,非营运车,昆明,国4,2017年10月,2017年10月,0.597826086957,km,2.67,4.33333333333,0.396415272588
3.86,9.75,8年,4.50万公里,4S店定期保养,非营运车,昆明,"国3,OBD",已到期,2017年10月,0.395897435897,km,4.5,8.66666666667,-0.422588814187
10.76,34.63,7年11个月,8.20万公里,4S店定期保养,非营运车,昆明,欧4,2017年11月,2017年11月,0.310713254404,km,8.2,7.58333333333,-0.796786885617
4.8,16.79,5年3个月,4.00万公里,4S店定期保养,非营运车,昆明,国4,2018年07月,2018年07月,0.285884455033,km,4.0,5.41666666667,-0.915457051126
4.16,8.56,6年9个月,7.00万公里,4S店定期保养,非营运车,昆明,国4,2019年01月,2018年01月,0.485981308411,km,7.0,6.5,-0.056089466651
25.3,42.65,3年10个月,3.80万公里,无定期保养,非营运车,昆明,"国4,国5",2017年10月,2017年10月,0.593200468933,km,3.8,3.25,0.377211889341
19.48,28.83,3年3个月,4.06万公里,无定期保养,非营运车,昆明,欧5,2017年11月,2017年11月,0.675685050295,km,4.06,3.25,0.734011954914
7.8,11.92,3年5个月,1.40万公里,无定期保养,非营运车,昆明,- -,2017年10月,2017年10月,0.654362416107,km,1.4,3.25,0.638270570334
5.3,13.23,5年9个月,6.00万公里,非4S店定期保养,非营运车,昆明,国4,2018年12月,2018年01月,0.400604686319,km,6.0,5.41666666667,-0.402946215089
6.8,11.06,3年3个月,3.10万公里,4S店定期保养,非营运车,昆明,欧5,2018年07月,已到期,0.614828209765,km,3.1,3.25,0.467653451901
1.29,3.9,7年6个月,7.00万公里,4S店定期保养,非营运车,昆明,国4,2018年04月,2018年04月,0.330769230769,km,7.0,7.58333333333,-0.704708002961
8.8,14.79,3年3个月,3.25万公里,无定期保养,非营运车,昆明,国4,2017年10月,2017年10月,0.594996619337,km,3.25,3.25,0.384660309357
6.26,14.2,6年,4.06万公里,无定期保养,非营运车,昆明,国4,2017年10月,2017年10月,0.440845070423,km,4.06,6.5,-0.237733090147
2.5,8.66,6年1个月,5.40万公里,4S店定期保养,非营运车,昆明,国3,2017年10月,2017年10月,0.288683602771,km,5.4,6.5,-0.901786045671
18.0,59.05,12年,12.90万公里,无定期保养,非营运车,昆明,国3,2017年10月,2017年10月,0.30482641829,km,12.9,1.08333333333,-0.824419078002
3.18,7.79,7年6个月,7.90万公里,4S店定期保养,非营运车,昆明,国4,2018年04月,2018年04月,0.408215661104,km,7.9,7.58333333333,-0.371346660216
3.86,7.0,4年3个月,4.00万公里,4S店定期保养,非营运车,昆明,欧4,2019年07月,2019年07月,0.551428571429,km,4.0,4.33333333333,0.206444383557
20.8,32.85,3年1个月,1.20万公里,4S店定期保养,非营运车,昆明,欧5,2018年09月,2018年09月,0.633181126332,km,1.2,3.25,0.545888326771
68.2,162.6,6年7个月,5.80万公里,非4S店定期保养,非营运车,昆明,欧4,2018年03月,2018年03月,0.419434194342,km,5.8,6.5,-0.325096508302
14.65,21.04,3年,3.20万公里,4S店定期保养,非营运车,昆明,国4,2018年01月,2018年01月,0.696292775665,km,3.2,3.25,0.829706067074
8.98,14.31,3年8个月,2.90万公里,4S店定期保养,非营运车,昆明,国4,2018年02月,2019年02月,0.627533193571,km,2.9,3.25,0.521648644136
1.36,6.5,10年,5.00万公里,非4S店定期保养,非营运车,昆明,国2,2017年11月,2017年11月,0.209230769231,km,5.0,1.08333333333,-1.32956837972
6.7,14.42,5年4个月,5.70万公里,4S店定期保养,非营运车,昆明,国4,2018年01月,2018年01月,0.464632454924,km,5.7,5.41666666667,-0.14170683764
6.86,10.94,3年4个月,5.10万公里,4S店定期保养,非营运车,昆明,欧4,2018年06月,2018年06月,0.627056672761,km,5.1,3.25,0.519610453322
35.6,63.93,5年,2.91万公里,无定期保养,非营运车,昆明,欧4,2017年10月,2017年10月,0.556859064602,km,2.91,5.41666666667,0.228424324016
12.5,65.87,9年6个月,7.10万公里,4S店定期保养,非营运车,昆明,国3,2018年01月,2018年01月,0.189767724305,km,7.1,9.75,-1.45152014604
6.48,8.99,1年11个月,1.80万公里,4S店定期保养,非营运车,昆明,"国4,京5",2017年11月,2017年11月,0.720800889878,km,1.8,1.08333333333,0.94843775722
8.8,13.55,2年2个月,3.28万公里,无定期保养,非营运车,昆明,国5,2017年11月,2017年11月,0.649446494465,km,3.28,2.16666666667,0.616607103438
5.58,13.01,6年6个月,8.20万公里,无定期保养,非营运车,昆明,国4,2017年11月,2017年11月,0.428900845503,km,8.2,6.5,-0.286337082336
7.68,21.25,7年,8.50万公里,无定期保养,非营运车,昆明,国4,2017年10月,2017年10月,0.361411764706,km,8.5,7.58333333333,-0.569241926687
6.58,9.43,2年1个月,2.20万公里,4S店定期保养,非营运车,昆明,"国4,京5",2017年09月,2017年09月,0.697773064687,km,2.2,2.16666666667,0.836715751057
9.8,12.57,1年6个月,1.30万公里,4S店定期保养,非营运车,昆明,国4,2018年04月,2019年04月,0.779634049324,km,1.3,1.08333333333,1.26353506548
15.28,17.67,1年4个月,2.96万公里,无定期保养,非营运车,昆明,"国4,国5",2017年10月,2017年10月,0.864742501415,km,2.96,1.08333333333,1.85525141779
4.9,12.99,4年10个月,10.50万公里,4S店定期保养,非营运车,昆明,国4,2017年12月,2017年12月,0.377213240955,km,10.5,4.33333333333,-0.501393525954
7.8,11.5,2年9个月,3.00万公里,4S店定期保养,非营运车,昆明,"国4,国5",2019年01月,2018年01月,0.678260869565,km,3.0,2.16666666667,0.745790914045
5.8,9.76,4年3个月,2.50万公里,非4S店定期保养,非营运车,昆明,国4,2018年07月,2018年07月,0.594262295082,km,2.5,4.33333333333,0.381613892286
28.6,37.97,1年7个月,3.30万公里,4S店定期保养,非营运车,昆明,国5,2018年03月,2018年03月,0.753226231235,km,3.3,1.08333333333,1.11589362158
3.4,5.51,4年5个月,2.80万公里,4S店定期保养,非营运车,昆明,"国4,国5",已到期,已到期,0.617059891107,km,2.8,4.33333333333,0.477087484134
3.1,5.74,2年9个月,3.00万公里,非4S店定期保养,非营运车,昆明,"国4,OBD,京5",2019年01月,2018年01月,0.540069686411,km,3.0,2.16666666667,0.160623194333
13.6,32.13,6年4个月,13.69万公里,无定期保养,非营运车,昆明,国4,2017年10月,2017年10月,0.42328042328,km,13.69,6.5,-0.309321247555
14.8,21.04,2年11个月,3.20万公里,4S店定期保养,非营运车,昆明,国4,2018年11月,2018年11月,0.703422053232,km,3.2,2.16666666667,0.863646998389
7.18,9.76,1年9个月,1.80万公里,无定期保养,非营运车,昆明,"国4,国5",2017年10月,2017年10月,0.735655737705,km,1.8,1.08333333333,1.02350998413
7.2,13.99,4年8个月,2.53万公里,无定期保养,非营运车,昆明,欧4,2017年10月,2017年10月,0.514653323803,km,2.53,4.33333333333,0.0586300844514
18.38,31.35,2年10个月,3.50万公里,4S店定期保养,非营运车,昆明,"国5,京5",2018年12月,2017年12月,0.586283891547,km,3.5,2.16666666667,0.348624118599
17.5,26.03,3年9个月,4.50万公里,4S店定期保养,非营运车,昆明,"国4,京5",2018年01月,2018年01月,0.672301190934,km,4.5,3.25,0.718611519426
14.6,28.44,5年2个月,5.81万公里,无定期保养,非营运车,昆明,欧4,2017年10月,2017年10月,0.513361462729,km,5.81,5.41666666667,0.0534585785248
12.65,35.81,7年10个月,8.60万公里,4S店定期保养,非营运车,昆明,国4,2018年01月,2018年01月,0.353253281206,km,8.6,7.58333333333,-0.604769437531
1.98,6.6,7年7个月,3.00万公里,非4S店定期保养,非营运车,昆明,国4,2018年01月,2018年01月,0.3,km,3.0,7.58333333333,-0.847297860387
5.8,13.0,6年1个月,6.70万公里,4S店定期保养,非营运车,昆明,国4,已到期,已到期,0.446153846154,km,6.7,6.5,-0.21622310847
5.88,10.29,4年7个月,4.20万公里,4S店定期保养,非营运车,昆明,国4,2018年01月,2018年01月,0.571428571429,km,4.2,4.33333333333,0.287682072452
3.9,7.91,5年3个月,8.66万公里,非4S店定期保养,非营运车,昆明,国4,- -,- -,0.493046776233,km,8.66,5.41666666667,-0.0278146881829
5.58,11.82,5年3个月,5.80万公里,4S店定期保养,非营运车,昆明,国4,2018年07月,2018年07月,0.472081218274,km,5.8,5.41666666667,-0.111791405988
6.99,11.82,5年3个月,5.80万公里,4S店定期保养,非营运车,昆明,国4,2018年07月,2018年07月,0.591370558376,km,5.8,5.41666666667,0.369634088581
6.9,11.82,5年3个月,5.80万公里,4S店定期保养,非营运车,昆明,国4,2018年01月,2018年01月,0.583756345178,km,5.8,5.41666666667,0.338212881099
11.45,15.17,1年5个月,1.60万公里,4S店定期保养,非营运车,昆明,国5,2018年01月,2018年01月,0.754779169413,km,1.6,1.08333333333,1.12426606172
11.56,15.17,1年5个月,1.60万公里,4S店定期保养,非营运车,昆明,国5,2018年05月,2018年05月,0.762030323006,km,1.6,1.08333333333,1.1638430909
28.6,37.98,1个月,0.05万公里,非4S店定期保养,非营运车,昆明,"国5,京5",2018年01月,2018年01月,0.753027909426,km,0.05,1.08333333333,1.11482695481
92.5,128.95,3个月,1.30万公里,4S店定期保养,非营运车,昆明,欧6,2019年07月,2018年07月,0.717332299341,km,1.3,3.25,0.931267186064
5.78,9.0,4年7个月,5.10万公里,4S店定期保养,非营运车,昆明,国4,2018年03月,已到期,0.642222222222,km,5.1,4.33333333333,0.585022323128
6.98,12.35,4年5个月,7.57万公里,无定期保养,非营运车,昆明,国4,2017年10月,2017年10月,0.565182186235,km,7.57,4.33333333333,0.262221008254
3.98,21.6,11年9个月,9.00万公里,非4S店定期保养,非营运车,昆明,欧4,2021年01月,已到期,0.184259259259,km,9.0,1.08333333333,-1.48775280121
8.3,19.53,8年3个月,8.30万公里,无定期保养,非营运车,昆明,国4,2017年10月,2017年10月,0.424987199181,km,8.3,8.66666666667,-0.302333253948
8.6,12.25,3年1个月,3.97万公里,无定期保养,非营运车,昆明,国4,2017年11月,2017年11月,0.702040816327,km,3.97,3.25,0.857035035665
13.8,17.78,2年2个月,0.96万公里,非4S店定期保养,非营运车,昆明,"国4,国5",2019年08月,2017年08月,0.776152980877,km,0.96,2.16666666667,1.24338677287
1.98,6.05,4年9个月,6.00万公里,非4S店定期保养,非营运车,昆明,国3,2018年01月,2018年01月,0.327272727273,km,6.0,4.33333333333,-0.720546154748
13.6,44.72,12年11个月,8.00万公里,非4S店定期保养,非营运车,昆明,欧3,2017年11月,2017年11月,0.304114490161,km,8.0,1.08333333333,-0.827780906568
9.6,22.35,6年6个月,6.90万公里,4S店定期保养,非营运车,昆明,国4,2018年04月,2018年04月,0.429530201342,km,6.9,6.5,-0.283768173131
0.69,11.59,14年3个月,12.00万公里,4S店定期保养,非营运车,昆明,国2,2018年07月,2018年07月,0.0595340811044,km,12.0,1.08333333333,-2.75982647063
8.18,15.17,3年8个月,1.10万公里,4S店定期保养,非营运车,昆明,国4,2018年01月,2018年01月,0.539222148978,km,1.1,3.25,0.157211594369
26.8,48.48,4年2个月,4.00万公里,非4S店定期保养,非营运车,昆明,国5,2018年08月,2018年08月,0.552805280528,km,4.0,4.33333333333,0.212011710945
12.7,22.99,5年8个月,6.30万公里,4S店定期保养,非营运车,昆明,国4,2018年02月,2018年02月,0.552414093084,km,6.3,5.41666666667,0.210429443619
6.88,8.34,3个月,0.10万公里,4S店定期保养,非营运车,昆明,国5,2019年01月,2019年01月,0.824940047962,km,0.1,3.25,1.55018221623
19.66,28.2,3年,3.40万公里,4S店定期保养,非营运车,昆明,欧4,2017年10月,2017年10月,0.697163120567,km,3.4,3.25,0.833825106919
15.8,23.64,2年6个月,1.57万公里,无定期保养,非营运车,昆明,国5,2017年10月,2017年10月,0.668358714044,km,1.57,2.16666666667,0.700771105671
4.68,27.87,12年4个月,16.00万公里,4S店定期保养,非营运车,昆明,,2018年06月,2018年06月,0.167922497309,km,16.0,1.08333333333,-1.60042304134
1.98,5.41,8年,8.39万公里,无定期保养,非营运车,昆明,国3,2017年10月,2017年10月,0.365988909427,km,8.39,8.66666666667,-0.549463416471
33.0,107.68,8年3个月,8.45万公里,4S店定期保养,非营运车,昆明,欧4,已到期,已到期,0.30646359584,km,8.45,8.66666666667,-0.816704757207
11.6,25.61,5年8个月,7.00万公里,无定期保养,非营运车,昆明,国4,2017年11月,2017年11月,0.452948067161,km,7.0,5.41666666667,-0.188766262237
9.9,19.84,5年9个月,6.50万公里,4S店定期保养,非营运车,昆明,国4,已到期,已到期,0.498991935484,km,6.5,5.41666666667,-0.00403226352794
12.6,16.55,1年10个月,2.10万公里,4S店定期保养,非营运车,昆明,国5,已到期,已到期,0.761329305136,km,2.1,1.08333333333,1.15998123504
5.36,8.56,3年2个月,3.60万公里,非4S店定期保养,非营运车,昆明,"国4,OBD",2018年08月,2018年08月,0.626168224299,km,3.6,3.25,0.515813165277
6.8,9.75,3年2个月,4.24万公里,无定期保养,非营运车,昆明,国5,2017年10月,2017年10月,0.697435897436,km,4.24,3.25,0.83511744183
9.9,16.26,10个月,0.10万公里,4S店定期保养,非营运车,昆明,"国4,国5",2018年12月,2018年12月,0.608856088561,km,0.1,1.08333333333,0.442506379789
6.2,11.82,6年1个月,6.90万公里,4S店定期保养,非营运车,昆明,国4,2018年09月,2018年09月,0.524534686971,km,6.9,6.5,0.0982176281454
5.75,11.81,4年8个月,5.30万公里,4S店定期保养,非营运车,昆明,国4,2018年02月,2018年02月,0.486875529213,km,5.3,4.33333333333,-0.052509945272
11.8,28.86,6年4个月,6.80万公里,非4S店定期保养,非营运车,昆明,国4,2018年01月,2018年01月,0.40887040887,km,6.8,6.5,-0.368637010592
9.16,22.77,8年2个月,9.30万公里,无定期保养,非营运车,昆明,国4,2017年11月,2017年11月,0.402283706632,km,9.3,8.66666666667,-0.395958637977
8.8,31.29,9年9个月,10.00万公里,4S店定期保养,非营运车,昆明,国4,2018年01月,2018年01月,0.281240012784,km,10.0,9.75,-0.938319044487
5.66,5.95,1个月,0.10万公里,非4S店定期保养,非营运车,昆明,"国4,国5",2020年01月,2018年01月,0.951260504202,km,0.1,1.08333333333,2.97129824822
3.98,8.01,5年,4.50万公里,非4S店定期保养,非营运车,昆明,国4,2017年10月,2017年10月,0.496878901373,km,4.5,5.41666666667,-0.0124845566622
8.96,13.33,2年7个月,2.90万公里,无定期保养,非营运车,昆明,"国4,国5",2017年11月,2017年11月,0.672168042011,km,2.9,2.16666666667,0.718007217879
17.48,26.04,2年1个月,2.40万公里,4S店定期保养,非营运车,昆明,"国4,国5",2018年09月,2018年09月,0.671274961598,km,2.4,2.16666666667,0.713957180074
8.86,14.21,2年9个月,3.75万公里,无定期保养,非营运车,昆明,国4,2017年11月,2017年11月,0.623504574243,km,3.75,2.16666666667,0.504450203709
6.6,13.66,4年1个月,5.11万公里,无定期保养,非营运车,昆明,国4,2017年11月,2017年11月,0.483162518302,km,5.11,4.33333333333,-0.0673754024728
5.18,10.84,6年1个月,7.56万公里,无定期保养,非营运车,昆明,国4,2017年11月,2017年11月,0.477859778598,km,7.56,6.5,-0.0886188359437
9.98,26.9,6年10个月,7.80万公里,4S店定期保养,非营运车,昆明,国4,2019年01月,2018年06月,0.371003717472,km,7.8,6.5,-0.527913263855
10.26,24.62,7年10个月,5.27万公里,无定期保养,非营运车,昆明,国4,2017年10月,2017年10月,0.416734362307,km,5.27,7.58333333333,-0.336193723877
16.28,32.54,5年6个月,6.30万公里,4S店定期保养,非营运车,昆明,国4,2018年04月,2018年04月,0.500307314075,km,6.3,5.41666666667,0.00122925645473
6.06,10.72,2年9个月,2.00万公里,非4S店定期保养,非营运车,昆明,"国4,国5",2018年01月,2017年09月,0.565298507463,km,2.0,2.16666666667,0.262694351944
14.95,47.98,6年11个月,9.00万公里,4S店定期保养,非营运车,昆明,国4,2017年11月,2017年11月,0.311588161734,km,9.0,6.5,-0.792704939566
19.8,44.72,13年1个月,15.00万公里,4S店定期保养,非营运车,昆明,欧3,2019年01月,2018年09月,0.442754919499,km,15.0,1.08333333333,-0.229988756219
6.5,10.83,4年5个月,5.10万公里,4S店定期保养,非营运车,昆明,"国4,国5",2018年05月,2018年05月,0.600184672207,km,5.1,4.33333333333,0.406234634887
6.2,10.84,3年7个月,4.60万公里,4S店定期保养,非营运车,昆明,"国3,OBD",2018年03月,2019年03月,0.571955719557,km,4.6,3.25,0.289834925813
18.6,28.96,2年9个月,4.20万公里,非4S店定期保养,非营运车,昆明,国4,2018年05月,2017年10月,0.64226519337,km,4.2,2.16666666667,0.585209343888
5.39,10.18,3年4个月,2.90万公里,4S店定期保养,非营运车,昆明,"国4,国5",2018年01月,2018年01月,0.529469548134,km,2.9,3.25,0.118014973498
10.1,15.19,2年10个月,3.30万公里,4S店定期保养,非营运车,昆明,"国4,国5",2017年12月,2017年12月,0.664911125741,km,3.3,2.16666666667,0.685257593285
13.8,56.99,8年11个月,12.00万公里,4S店定期保养,非营运车,昆明,国4,2017年11月,2017年11月,0.242147745218,km,12.0,8.66666666667,-1.14094039481
15.3,25.27,4年9个月,5.60万公里,4S店定期保养,非营运车,昆明,国4,2018年01月,2018年01月,0.605461020973,km,5.6,4.33333333333,0.428272244425
4.96,9.42,5年8个月,6.70万公里,4S店定期保养,非营运车,昆明,国4,2018年02月,2018年02月,0.526539278132,km,6.7,5.41666666667,0.106256974705
8.1,16.26,5年1个月,5.70万公里,非4S店定期保养,非营运车,昆明,国4,2018年09月,2018年09月,0.49815498155,km,5.7,5.41666666667,-0.00738010729762
4.6,10.07,5年5个月,4.71万公里,无定期保养,非营运车,昆明,国4,2017年10月,2017年10月,0.456802383317,km,4.71,5.41666666667,-0.173222312939
16.8,61.65,9年2个月,11.10万公里,4S店定期保养,非营运车,昆明,欧4,已到期,已到期,0.272506082725,km,11.1,9.75,-0.981944702096
59.0,212.35,7年1个月,6.50万公里,4S店定期保养,非营运车,昆明,欧4,2017年09月,2017年09月,0.277843183424,km,6.5,7.58333333333,-0.955185446655
7.7,18.76,6年8个月,4.00万公里,4S店定期保养,非营运车,昆明,"国4,OBD",2019年02月,2019年02月,0.410447761194,km,4.0,6.5,-0.362114667235
7.72,13.21,2年8个月,3.20万公里,4S店定期保养,非营运车,昆明,"国4,京5",2018年02月,2018年02月,0.584405753217,km,3.2,2.16666666667,0.340886108515
7.8,9.11,1年2个月,3.00万公里,4S店定期保养,非营运车,昆明,国5,2018年08月,已到期,0.856201975851,km,3.0,1.08333333333,1.78409659648
11.6,17.02,2年8个月,3.50万公里,4S店定期保养,非营运车,昆明,"国4,国5",2018年02月,2018年02月,0.681551116334,km,3.5,2.16666666667,0.760909282661
19.6,43.2,4年3个月,4.62万公里,无定期保养,非营运车,昆明,欧4,2017年10月,2017年10月,0.453703703704,km,4.62,4.33333333333,-0.185717145795
1.6,22.45,14年3个月,11.00万公里,非4S店定期保养,非营运车,昆明,国2,2018年07月,2018年07月,0.0712694877506,km,11.0,1.08333333333,-2.567350319
7.2,10.83,4年5个月,5.30万公里,非4S店定期保养,非营运车,昆明,- -,2018年05月,2018年05月,0.664819944598,km,5.3,4.33333333333,0.684848377745
7.9,14.98,4年,4.30万公里,4S店定期保养,非营运车,昆明,欧4,2018年01月,2018年01月,0.527369826435,km,4.3,4.33333333333,0.109588851767
3.28,6.18,1年9个月,1.50万公里,非4S店定期保养,非营运车,昆明,"国4,国5",2018年01月,2018年01月,0.53074433657,km,1.5,1.08333333333,0.123132685404
19.8,53.61,7年2个月,9.62万公里,无定期保养,非营运车,昆明,欧4,2017年11月,2017年11月,0.369334079463,km,9.62,7.58333333333,-0.535074679019
9.8,21.88,6年11个月,8.30万公里,4S店定期保养,非营运车,昆明,欧4,2017年11月,2017年11月,0.4478976234,km,8.3,6.5,-0.20916880683
