,GPS导航,city,depre,miles,y,years,上牌城市,上牌时间,主副驾驶安全气囊,事故排查,仪表台指示灯,供油方式,倒车影像系统,倒车雷达,儿童座椅接口,全景天窗,公里数,内部配置,前制动类型,前后排侧气囊,前后排头部气囊,前后排座椅加热,前后电动车窗,前悬挂类型,前轮胎规格,助力类型,卖家报价(万),厂商,发动机,发动机状态,变速箱1,变速箱及转向,变速箱详情,后制动类型,后悬挂类型,后视镜加热,后视镜电动调节,后视镜电动调节.1,后轮胎规格,外观件更换检测,外部配置,多功能方向盘,安全系统,定速巡航,底盘悬架项,总车型,感应后备箱,感应雨刷,排放标准,排放标准.1,排量,整备质量,新车指导价(万),无钥匙启动系统,最大扭矩,最大马力,服务费,机舱项,款式年份,气缸,泡水排查,漆面修复检测,火烧排查,灯光系统,燃料类型,燃油标号,电动吸合门,电动天窗,真皮座椅,空调,级别,缺陷项检测,胎压检测,自动空调,行李容积,车内中控锁,车型1,车身稳定控制,车身结构,轴承,进气形式,钣金修复检测,长宽高,防抱死系统,随车工具,驱动方式,驻车制动类型,高科技配置
323,无,cq,0.618421052632,5.6,0.482851771724,1.75,重庆,2015-09,正常/正常,0.0,0.0,直喷,无,标配,标配,标配,5.6万公里,0.0,通风盘式,正常/无,无/无,无/无,无,双叉臂式独立悬架,215/55 R17,电动助力,9.4,吉利汽车,1.8T 163马力 L4,0.0,自动,0.0,6档手自一体变速箱(AT),盘式,多连杆独立悬架,无,标配/标配,标配,215/55 R17,0.0,0.0,标配,0.0,标配,0.0,吉利博瑞 2015款 1.8T 舒适型,无,标配,国五,国五,1.8,1730,15.2,标配,250,163.0,3760元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,4.0,0.0,0.0,汽油,92号,无,标配,无,标配,中型车,4.0,标配,标配,-,标配,吉利博瑞,标配,4门5座三厢车,2850,涡轮增压,1.0,4956/1861/1513,标配,0.0,,-,0.0
324,标配,cq,0.373333333333,12.7,-0.517943091535,4.0,重庆,2013-06,正常/正常,0.0,0.0,直喷,标配,标配,标配,无,12.7万公里,0.0,通风盘式,正常/无,正常/正常,标配/无,标配,麦弗逊式独立悬架,235/55 R18,机械液压助力,5.6,华泰汽车,2.0T 150马力 L4,0.0,手动,0.0,5档手动变速箱(MT),盘式,多连杆独立悬架,标配,标配/标配,标配,235/55 R18,0.0,0.0,标配,0.0,标配,0.0,华泰宝利格 2013款 2.0T 手动两驱智尊版,无,标配,国四,国四,2.0,-,15.0,无,310,150.0,3500元（车价x4%，最低3500元） ,0.0,2013款,L4,0.0,4.0,0.0,0.0,柴油,0号,无,标配,标配,标配,紧凑型SUV,2.0,无,标配,690-21,标配,华泰宝利格,标配,5门5座SUV,2620,涡轮增压,1.0,4618/1858/1754,标配,0.0,-,-,0.0
325,无,cq,0.563190184049,6.5,0.254119479209,1.83333333333,重庆,2015-08,正常/正常,0.0,0.0,多点电喷,无,无,标配,无,6.5万公里,0.0,通风盘式,正常/无,无/无,无/无,标配,麦弗逊式独立悬架,215/55 R18,电动助力,9.18,上汽通用别克,1.4T 140马力 L4,0.0,自动,0.0,6档手自一体变速箱(AT),盘式,复合扭力梁式非独立悬架,无,标配/标配,标配,215/55 R18,0.0,0.0,无,0.0,无,0.0,别克昂科拉 2015款 1.4T 自动两驱都市精英型,无,无,国五,国五,1.4,-,16.3,无,200,140.0,3672元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,4.0,0.0,0.0,汽油,92号,无,标配,无,标配,小型SUV,1.0,无,无,356-13,标配,别克昂科拉,标配,5门5座SUV,2555,涡轮增压,4.0,4278/1774/1646,标配,0.0,-,-,0.0
326,无,cq,0.664957264957,4.4,0.685464684388,1.08333333333,重庆,2016-05,正常/正常,0.0,0.0,多点电喷,无,标配,标配,无,4.4万公里,0.0,通风盘式,正常/无,无/无,无/无,无,麦弗逊式独立悬架,195/65 R15,电动助力,7.78,长安福特,1.5L 113马力 L4,0.0,自动,0.0,6档手自一体变速箱(AT),盘式,扭力梁式后悬架,无,标配/标配,标配,195/65 R15,0.0,0.0,无,0.0,无,0.0,福特福睿斯 2015款 1.5L 自动舒适型,无,无,国四,国四,1.5,1300,11.7,无,142,113.0,3500元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,无,无,标配,紧凑型车,2.0,无,无,448,标配,福特福睿斯,无,4门5座三厢车,2687,自然吸气,0.0,4587/1825/1490,标配,0.0,,-,0.0
327,标配,cq,0.525773195876,6.11,0.103184236235,1.16666666667,重庆,2016-04,正常/正常,0.0,0.0,多点电喷,标配,标配,标配,无,6.11万公里,0.0,通风盘式,正常/无,正常/正常,无/无,无,麦弗逊式独立悬架,215/55 R17,电动助力,5.1,众泰汽车,1.5T 150马力 L4,0.0,手动,0.0,5档手动变速箱(MT),盘式,扭力梁式非独立悬架,标配,标配/标配,标配,215/55 R17,0.0,0.0,标配,0.0,无,0.0,众泰Z500 2015款 1.5T 手动尊贵型,无,无,国四,国四,1.5,1360,9.7,标配,195,150.0,3500元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,2.0,0.0,0.0,汽油,92号,无,标配,无,标配,中型车,2.0,无,标配,500,标配,众泰Z500,无,4门5座三厢车,2750,涡轮增压,1.0,4750/1810/1490,标配,0.0,,-,0.0
328,加装,cq,0.505747126437,11.3,0.0229895182247,3.25,永川区,2014-03,正常/正常,0.0,0.0,多点电喷,加装,无,标配,无,11.3万公里,0.0,通风盘式,无/无,无/无,无/无,标配,麦弗逊式独立悬架,225/65 R17,机械液压助力,4.4,比亚迪,2.0L 140马力 L4,0.0,手动,0.0,5档手动变速箱(MT),盘式,多连杆独立悬架,标配,标配/标配,标配,225/65 R17,0.0,0.0,标配,0.0,无,0.0,比亚迪S6 2014款 2.0L 手动豪华型 5座,无,无,国四,国四,2.0,1620,8.7,标配,186,140.0,3500元（车价x4%，最低3500元） ,0.0,2014款,L4,0.0,6.0,0.0,0.0,汽油,92号,无,无,无,标配,中型SUV,7.0,无,标配,1084-2,标配,比亚迪S6,无,5门5座SUV,2720,自然吸气,1.0,4810/1855/1680,标配,0.0,,-,0.0
329,标配,cq,0.482269503546,10.2,-0.0709517359723,3.08333333333,重庆,2014-05,正常/正常,0.0,0.0,多点电喷,标配,标配,标配,无,10.2万公里,0.0,通风盘式,无/无,无/无,无/无,无,麦弗逊式独立悬架,215/60 R16,机械液压助力,6.8,长安汽车,1.8T 177马力 L4,0.0,自动,0.0,6档手自一体变速箱(AT),盘式,支柱式多连杆独立悬架,标配,标配/标配,标配,215/60 R16,1.0,0.0,标配,1.0,无,0.0,长安睿骋 2014款 1.8T 自动精英周年版 国IV,无,无,国四,国四,1.8,1595,14.1,无,230,177.0,3500元（车价x4%，最低3500元） ,0.0,2014款,L4,0.0,1.0,0.0,0.0,汽油,92号,无,标配,无,标配,中型车,4.0,无,标配,505,标配,长安睿骋,标配,4门5座三厢车,2810,涡轮增压,3.0,4900/1860/1500,标配,0.0,,-,0.0
330,标配,cq,0.756756756757,4.93,1.13497993284,1.08333333333,永川区,2016-05,正常/正常,0.0,0.0,多点电喷,标配,标配,标配,无,4.93万公里,0.0,通风盘式,无/无,无/无,无/无,标配,麦弗逊式独立悬架,225/65 R17,机械液压助力,8.4,长城汽车,1.5T 150马力 L4,0.0,手动,0.0,6档手动变速箱(MT),盘式,双横臂式独立悬架,标配,标配/标配,标配,225/65 R17,0.0,0.0,标配,0.0,标配,0.0,哈弗H6 2016款 升级版 1.5T 手动两驱精英型,无,无,国四,国四,1.5,1541,11.1,标配,210,150.0,3500元（车价x4%，最低3500元） ,0.0,2016款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,标配,无,标配,紧凑型SUV,1.0,标配,标配,808-20,标配,哈弗H6,标配,5门5座SUV,2680,涡轮增压,0.0,4640/1825/1690,标配,0.0,-,-,0.0
331,无,cq,0.328947368421,12.74,-0.712949807856,4.0,重庆,2013-06,正常/正常,0.0,0.0,多点电喷,无,标配,标配,无,12.74万公里,0.0,通风盘式,无/无,无/无,无/无,无,麦弗逊式独立悬架,215/55 R16,机械液压助力,5.0,上汽集团,1.8L 133马力 L4,0.0,自动,0.0,5档手自一体变速箱(AT),通风盘式,多连杆独立悬架,无,标配/标配,标配,215/55 R16,0.0,0.0,标配,0.0,标配,0.0,荣威550 2012款 550 1.8L 自动超值版,无,无,国四,国四,1.8,-,15.2,无,170,133.0,3500元（车价x4%，最低3500元） ,2.0,2012款,L4,0.0,5.0,0.0,0.0,汽油,92号,无,标配,标配,标配,紧凑型车,8.0,无,无,452,标配,荣威550,无,4门5座三厢车,2705,自然吸气,2.0,4624/1827/1480,标配,0.0,,-,0.0
332,无,cq,0.62037037037,3.85,0.491120552687,1.16666666667,重庆,2016-04,正常/正常,0.0,0.0,多点电喷,无,无,标配,无,3.85万公里,0.0,通风盘式,无/无,无/无,无/无,无,麦弗逊式独立悬架,205/60 R16,电动助力,6.7,上汽通用雪佛兰,1.5L 113马力 L4,0.0,手动,0.0,5档手动变速箱(MT),盘式,扭力梁式非独立悬架,无,标配/标配,标配,205/60 R16,0.0,0.0,无,0.0,无,0.0,雪佛兰科鲁兹 2015款 1.5L 经典 SE MT,无,无,国四,国四,1.5,1320,10.8,无,141,113.0,3500元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,2.0,0.0,0.0,汽油,92号,无,标配,无,标配,紧凑型车,4.0,无,无,461,标配,雪佛兰科鲁兹,无,4门5座三厢车,2685,自然吸气,1.0,4643/1797/1477,标配,0.0,,-,0.0
333,无,cq,0.485148514851,14.4,-0.0594234204708,3.66666666667,重庆,2013-10,正常/正常,0.0,0.0,多点电喷,无,标配,标配,无,14.4万公里,0.0,通风盘式,正常/无,无/无,无/无,无,麦弗逊式独立悬架,225/55 R17,电动助力,9.8,上汽通用别克,2.0L 147马力 L4,0.0,自动,0.0,6档手自一体变速箱(AT),盘式,多连杆独立悬架,标配,标配/标配,标配,225/55 R17,0.0,0.0,无,0.0,无,0.0,别克君威 2012款 2.0L 舒适版,无,无,国四,国四,2.0,1585,20.2,无,190,147.0,3920元（车价x4%，最低3500元） ,0.0,2012款,L4,0.0,4.0,0.0,0.0,汽油,92号,无,标配,无,标配,中型车,0.0,标配,标配,500,标配,别克君威,标配,4门5座三厢车,2737,自然吸气,3.0,4830/1856/1484,标配,0.0,,-,0.0
334,无,cq,0.582191780822,9.8,0.331777392317,2.08333333333,重庆,2015-05,正常/正常,0.0,0.0,多点电喷,无,无,标配,无,9.8万公里,0.0,通风盘式,无/无,无/无,无/无,标配,麦弗逊式独立悬架+横向稳定杆,215/65 R16,机械液压助力,4.25,东风风行,1.5L 120马力 L4,0.0,手动,0.0,5档手动变速箱(MT),盘式,扭力梁式非独立悬架,无,标配/标配,标配,215/65 R16,0.0,0.0,无,0.0,无,0.0,东风风行景逸X3 2015款 1.5L 舒适型,无,无,国四,国四,1.5,1350,7.3,无,143,120.0,3500元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,1.0,0.0,0.0,汽油,92号,无,无,加装,标配,紧凑型SUV,1.0,无,无,700-19,标配,东风风行景逸X3,无,5门5座SUV,2685,自然吸气,0.0,4382/1835/1705,标配,0.0,,-,0.0
335,无,cq,0.596774193548,3.14,0.392042087776,1.0,重庆,2016-06,正常/正常,1.0,0.0,多点电喷,无,无,标配,无,3.14万公里,0.0,通风盘式,正常/无,正常/正常,无/无,无,麦弗逊式独立悬架,205/60 R16,机械液压助力,7.4,长安福特,1.6L 125马力 L4,0.0,手动,0.0,5档手动变速箱(MT),盘式,多连杆独立悬架,无,标配/标配,标配,205/60 R16,0.0,0.0,无,0.0,无,0.0,福特福克斯 2015款 三厢 1.6L 手动舒适型,无,无,国五,国五,1.6,1306,12.4,无,159,125.0,3500元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,4.0,0.0,0.0,汽油,92号,无,无,无,标配,紧凑型车,4.0,无,无,530,标配,福特福克斯,标配,4门5座三厢车,2648,自然吸气,3.0,4534/1823/1483,标配,0.0,,-,0.0
336,无,cq,0.516483516484,5.3,0.0659579677918,1.16666666667,重庆,2016-04,正常/正常,0.0,0.0,多点电喷,无,无,标配,无,5.3万公里,0.0,通风盘式,无/无,无/无,无/无,无,麦弗逊式独立悬架,185/65 R15,电动助力,4.7,东风雪铁龙,1.6L 117马力 L4,0.0,手动,0.0,5档手动变速箱(MT),盘式,扭力梁式非独立悬架,无,标配/标配,标配,185/65 R15,0.0,0.0,无,0.0,无,0.0,雪铁龙爱丽舍 2016款 1.6L 手动时尚型,无,无,国四,国四,1.6,1150,9.1,无,150,117.0,3500元（车价x4%，最低3500元） ,0.0,2016款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,无,无,标配,紧凑型车,1.0,无,无,485,标配,雪铁龙爱丽舍,无,4门5座三厢车,2652,自然吸气,2.0,4427/1748/1476,标配,0.0,,-,0.0
337,无,cq,0.385185185185,9.02,-0.467596889215,3.0,万州区,2014-06,无/无,0.0,0.0,多点电喷,无,无,无,无,9.02万公里,0.0,盘式,无/无,无/无,无/无,无,麦弗逊式独立悬挂,165 R13LT,无助力,2.08,长安汽车,1.2L 98马力 L4,0.0,手动,0.0,5档手动变速箱(MT),鼓式,钢板弹簧,无,无/无,无,165 R13LT,0.0,0.0,无,0.0,无,0.0,长安商用金牛星 2013款 1.2L标准型,无,无,国四,国四,1.2,-,5.4,无,119,98.0,3000元（车价x4%，最低3000元） ,0.0,2013款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,无,无,无,微面,4.0,无,无,-,无,长安商用金牛星,无,客车,2605,自然吸气,0.0,4110/1690/1930,无,0.0,,-,0.0
338,无,cq,0.641176470588,5.9,0.580474018056,1.25,重庆,2016-03,无/无,0.0,0.0,多点电喷,无,无,无,无,5.9万公里,0.0,盘式,无/无,无/无,无/无,无,麦弗逊式独立悬挂,165/70 R13LT,无助力,2.18,长安汽车,1.0L 69马力 L4,0.0,手动,0.0,5档手动变速箱(MT),鼓式,钢板弹簧,无,无/无,无,165/70 R13LT,0.0,0.0,无,0.0,无,0.0,长安商用长安之星3 2015款 1.0L基本型非空调C10,无,无,国四,国四,1.0,1095,3.4,无,91,69.0,3000元（车价x4%，最低3000元） ,0.0,2015款,L4,0.0,1.0,0.0,0.0,汽油,92号,无,无,无,加装,微面,4.0,无,无,-,无,长安商用长安之星3,无,客车,2500,自然吸气,2.0,3930/1540/1890,标配,0.0,,-,0.0
339,标配,cq,0.580141843972,7.8,0.323355701719,2.5,重庆,2014-12,正常/正常,0.0,0.0,直喷,标配,标配,标配,无,7.8万公里,0.0,通风盘式,正常/无,正常/正常,无/无,标配,麦弗逊式独立悬架,235/55 R18,机械液压助力,8.18,比亚迪,2.0T 205马力 L4,0.0,自动,0.0,6档双离合变速箱(DCT),盘式,多连杆独立悬架,标配,标配/标配,标配,235/55 R18,0.0,0.0,标配,0.0,标配,0.0,比亚迪S7 2015款 2.0T 自动尊贵型,无,无,国四,国四,2.0,1750,14.1,标配,320,205.0,3500元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,标配,无,标配,中型SUV,1.0,标配,标配,365-23,标配,比亚迪S7,标配,5门7座SUV,2730,涡轮增压,0.0,4835/1855/1720,标配,0.0,,-,0.0
340,无,cq,0.4,14.89,-0.405465108108,4.41666666667,重庆,2013-01,无/无,0.0,0.0,多点电喷,无,标配,无,无,14.89万公里,0.0,通风盘式,无/无,无/无,无/无,无,双横臂扭杆式独立悬挂,215/70 R15,液压助力,4.6,江淮汽车,2.0L 129马力 L4,0.0,手动,0.0,5档手动变速箱(MT),鼓式,钢板弹簧非独立悬架,无,标配/无,标配,215/70 R15,0.0,0.0,无,0.0,无,0.0,江淮瑞风 2008款 2.0L穿梭 汽油 简配前后空调型,无,无,国三,国三,2.0,-,11.5,无,170,129.0,3500元（车价x4%，最低3500元） ,0.0,2008款,L4,0.0,1.0,0.0,0.0,汽油,92号,无,无,无,标配,轻客,1.0,无,无,-,标配,江淮瑞风,无,客车,3080,自然吸气,0.0,5035/1820/1970,标配,0.0,,-,0.0
341,加装,cq,0.740740740741,3.57,1.0498221245,1.16666666667,重庆,2016-04,正常/正常,0.0,0.0,多点电喷,标配,标配,标配,无,3.57万公里,0.0,通风盘式,正常/无,无/无,无/无,标配,麦弗逊式独立悬架,205/50 R16,电动助力,6.0,东风乘用车,1.5L 116马力 L4,0.0,手动,0.0,5档手动变速箱(MT),盘式,扭力梁式半独立悬架,无,标配/标配,标配,205/50 R16,0.0,0.0,标配,0.0,标配,0.0,东风风神AX3 2016款 1.5L 手动致酷型,无,无,国四,国四,1.5,1222,8.1,无,145,116.0,3500元（车价x4%，最低3500元） ,0.0,2016款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,标配,无,标配,小型SUV,1.0,无,无,550-13,标配,东风风神AX3,无,5门5座SUV,2620,自然吸气,0.0,4518/1740/1562,标配,0.0,,-,0.0
342,无,cq,0.678804347826,6.3,0.748282492719,1.91666666667,重庆,2015-07,正常/正常,0.0,0.0,直喷,无,标配,标配,无,6.3万公里,0.0,通风盘式,正常/无,正常/正常,无/无,标配,麦弗逊式独立悬架,225/65 R17,电动助力,12.49,长安马自达,2.0L 155马力 L4,0.0,手动,0.0,6档手动变速箱(MT),盘式,多连杆独立悬架,标配,标配/标配,标配,225/65 R17,0.0,0.0,标配,0.0,无,0.0,马自达CX-5 2015款 2.0L 手动两驱舒适型,无,无,国四,国四,2.0,1435,18.4,标配,200,155.0,4996元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,无,无,标配,紧凑型SUV,3.0,无,标配,490,标配,马自达CX-5,标配,5门5座SUV,2700,自然吸气,0.0,4555/1840/1710,标配,0.0,-,-,0.0
343,无,cq,0.525,10.96,0.100083458557,3.58333333333,重庆,2013-11,正常/正常,0.0,0.0,直喷,无,标配,标配,无,10.96万公里,0.0,通风盘式,正常/无,无/无,无/无,无,麦弗逊式独立悬架,215/60 R16,电动助力,10.5,上汽大众,1.4T 131马力 L4,0.0,手动,0.0,5档手动变速箱(MT),盘式,多连杆独立悬架,无,标配/标配,标配,215/60 R16,0.0,0.0,无,0.0,无,0.0,大众帕萨特 2013款 1.4TSI 手动尊雅版,无,无,国四,国四,1.4,1435,20.0,无,220,131.0,4200元（车价x4%，最低3500元） ,0.0,2013款,L4,0.0,3.0,0.0,0.0,汽油,95号,无,无,标配,标配,中型车,6.0,标配,无,490,标配,大众帕萨特,标配,4门5座三厢车,2803,涡轮增压,3.0,4870/1834/1472,标配,0.0,,-,0.0
344,加装,cq,0.44504950495,14.6,-0.220693388601,4.41666666667,重庆,2013-01,正常/正常,0.0,0.0,多点电喷,加装,标配,标配,无,14.6万公里,0.0,通风盘式,正常/无,无/无,无/无,无,麦弗逊式独立悬架,225/55 R17,电动助力,8.99,上汽通用别克,2.0L 147马力 L4,0.0,自动,0.0,6档手自一体变速箱(AT),盘式,多连杆独立悬架,标配,标配/标配,标配,225/55 R17,5.0,0.0,无,0.0,无,0.0,别克君威 2012款 2.0L 舒适版,无,无,国四,国四,2.0,1585,20.2,无,190,147.0,3596元（车价x4%，最低3500元） ,0.0,2012款,L4,0.0,2.0,0.0,0.0,汽油,92号,无,标配,无,标配,中型车,0.0,标配,标配,500,标配,别克君威,标配,4门5座三厢车,2737,自然吸气,3.0,4830/1856/1484,标配,0.0,,-,0.0
345,标配,cq,0.589285714286,9.65,0.361013345537,2.41666666667,重庆,2015-01,正常/正常,0.0,0.0,直喷,标配,标配,标配,无,9.65万公里,0.0,通风盘式,正常/无,正常/正常,无/无,标配,麦弗逊式独立悬架,225/65 R17,机械液压助力,6.6,比亚迪,1.5T 154马力 L4,0.0,手动,0.0,6档手动变速箱(MT),盘式,多连杆独立悬架,标配,标配/标配,标配,225/65 R17,0.0,0.0,标配,0.0,无,0.0,比亚迪S6 2014款 1.5TI 手动尊贵型 7座,无,无,国四,国四,1.5,-,11.2,标配,240,154.0,3500元（车价x4%，最低3500元） ,0.0,2014款,L4,0.0,5.0,0.0,0.0,汽油,92号,无,标配,无,标配,中型SUV,0.0,无,标配,1084-2,标配,比亚迪S6,无,5门7座SUV,2720,涡轮增压,0.0,4810/1855/1725,标配,0.0,,-,0.0
346,标配,cq,0.769230769231,4.86,1.20397280433,1.16666666667,万州区,2016-04,正常/正常,0.0,0.0,多点电喷,无,标配,标配,无,4.86万公里,0.0,通风盘式,无/无,无/无,无/无,标配,麦弗逊式独立悬架,205/65 R16,电动助力,5.0,北汽银翔,1.5L 113马力 L4,0.0,手动,0.0,5档手动变速箱(MT),盘式,五连杆后悬架,无,标配/标配,标配,205/65 R16,0.0,0.0,标配,0.0,无,0.0,北汽幻速S3 2016款 1.5L 手动舒适型 国IV,无,无,国四,国四,1.5,1335,6.5,无,150,113.0,3500元（车价x4%，最低3500元） ,0.0,2016款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,无,无,标配,紧凑型SUV,0.0,无,无,-,标配,北汽幻速S3,无,5门7座SUV,2685,自然吸气,0.0,4380/1730/1760,标配,0.0,,-,0.0
347,无,cq,0.439393939394,13.1,-0.243622082658,3.66666666667,重庆,2013-10,正常/正常,0.0,0.0,多点电喷,无,标配,无,无,13.1万公里,0.0,通风盘式,无/无,无/无,无/无,标配,麦弗逊式独立悬挂,195/60 R15,电动助力,2.9,长安汽车,1.5L 106马力 L4,0.0,手动,0.0,5档手动变速箱(MT),鼓式,五连杆式非独立悬架,无,标配/标配,标配,195/60 R15,0.0,0.0,无,0.0,无,0.0,长安商用欧诺 2012款 1.5L豪华型,无,无,国四,国四,1.5,1325,6.6,无,135,106.0,3000元（车价x4%，最低3000元） ,0.0,2012款,L4,0.0,3.0,0.0,0.0,汽油,92号,无,无,无,标配,微面,3.0,无,无,-,标配,长安商用欧诺,无,客车,2750,自然吸气,0.0,4360/1685/1850,标配,0.0,,-,0.0
348,加装,cq,0.504587155963,4.8,0.0183491386682,1.58333333333,重庆,2015-11,正常/正常,0.0,0.0,直喷,加装,标配,标配,无,4.8万公里,0.0,通风盘式,正常/无,无/无,无/无,标配,麦弗逊式独立悬架,225/50 R17,电动助力,11.0,上汽斯柯达,1.4T 150马力 L4,0.0,自动,0.0,7档双离合变速箱(DCT),盘式,多连杆独立悬架,标配,标配/标配,标配,225/50 R17,0.0,0.0,标配,0.0,标配,0.0,斯柯达Yeti 2014款 1.4TSI DSG极地版,无,无,国四,国四,1.4,1435,21.8,无,250,150.0,4400元（车价x4%，最低3500元） ,0.0,2014款,L4,0.0,1.0,0.0,0.0,汽油,95号,无,无,标配,标配,小型SUV,2.0,标配,标配,430-16,标配,斯柯达Yeti,标配,5门5座SUV,2638,涡轮增压,0.0,4459/1793/1682,标配,0.0,-,-,0.0
349,无,cq,0.557142857143,8.17,0.229574441645,2.25,重庆,2015-03,正常/正常,0.0,0.0,多点电喷,无,标配,标配,无,8.17万公里,0.0,通风盘式,无/无,无/无,无/无,无,麦弗逊式独立悬架,205/55 R16,电动助力,7.8,上汽斯柯达,1.6L 110马力 L4,0.0,手动,0.0,5档手动变速箱(MT),盘式,扭力梁式非独立悬架,标配,标配/标配,标配,205/55 R16,0.0,0.0,无,0.0,标配,0.0,斯柯达明锐 2015款 1.6L 手动逸杰版,无,无,国四,国四,1.6,1210,14.0,无,155,110.0,3500元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,2.0,0.0,0.0,汽油,92号,无,无,无,标配,紧凑型车,2.0,无,无,590-15,标配,斯柯达明锐,无,5门5座掀背车,2686,自然吸气,1.0,4659/1814/1460,标配,0.0,,-,0.0
350,标配,cq,0.526315789474,11.02,0.105360515658,3.0,重庆,2014-06,正常/正常,0.0,0.0,多点电喷,无,标配,标配,无,11.02万公里,0.0,通风盘式,正常/无,正常/正常,无/无,无,麦弗逊式独立悬架,205/55 R16,机械液压助力,6.0,吉利汽车,1.8L 139马力 L4,0.0,自动,0.0,无级变速档无级变速箱(CVT),盘式,扭力梁式后悬架,标配,标配/标配,标配,205/55 R16,1.0,0.0,标配,0.0,标配,0.0,吉利经典帝豪 2013款 三厢 1.8L CVT尊贵型,无,无,国三,国三,1.8,1310,11.4,无,172,139.0,3500元（车价x4%，最低3500元） ,1.0,2013款,L4,0.0,3.0,0.0,0.0,汽油,92号,无,标配,标配,标配,紧凑型车,0.0,标配,标配,680,标配,吉利经典帝豪,无,4门5座三厢车,2650,自然吸气,2.0,4635/1789/1470,标配,0.0,,-,0.0
351,无,cq,0.629032258065,3.6,0.5280674302,1.0,重庆,2016-06,正常/正常,0.0,0.0,多点电喷,加装,标配,标配,无,3.6万公里,0.0,通风盘式,无/无,无/无,无/无,无,麦弗逊式独立悬架,195/60 R15,电动助力,7.8,一汽丰田,1.6L 120马力 L4,0.0,自动,0.0,4档自动变速箱(AT),盘式,拖曳臂式,无,标配/标配,标配,195/60 R15,0.0,0.0,无,0.0,无,0.0,丰田花冠 2013款 1.6L 自动豪华版,无,无,国四,国四,1.6,1165,12.4,无,152,120.0,3500元（车价x4%，最低3500元） ,0.0,2013款,L4,0.0,2.0,0.0,0.0,汽油,92号,无,标配,标配,标配,紧凑型车,0.0,无,无,430,标配,丰田花冠,无,4门5座三厢车,2600,自然吸气,0.0,4555/1705/1490,标配,0.0,,-,0.0
352,标配,cq,0.491071428571,11.4,-0.0357180826021,2.5,重庆,2014-12,正常/正常,0.0,0.0,直喷,标配,标配,标配,无,11.4万公里,0.0,通风盘式,正常/无,正常/正常,无/无,无,麦弗逊式独立悬架,205/55 R16,电动助力,5.5,比亚迪,1.5T 154马力 L4,0.0,自动,0.0,6档双离合变速箱(DCT),盘式,扭力梁式后悬架,标配,标配/标配,标配,205/55 R16,0.0,0.0,标配,0.0,标配,0.0,比亚迪G5 2014款 1.5TID 自动旗舰型,无,无,国四,国四,1.5,-,11.2,标配,240,154.0,3500元（车价x4%，最低3500元） ,0.0,2014款,L4,0.0,2.0,0.0,0.0,汽油,92号,无,标配,无,标配,紧凑型车,0.0,标配,标配,450,标配,比亚迪G5,标配,4门5座三厢车,2670,涡轮增压,0.0,4700/1790/1480,标配,0.0,,-,0.0
353,无,cq,0.6,7.5,0.405465108108,1.83333333333,重庆,2015-08,正常/正常,0.0,0.0,多点电喷,无,标配,标配,标配,7.5万公里,0.0,通风盘式,无/无,无/无,无/无,无,麦弗逊式独立悬架,205/60 R16,机械液压助力,9.78,北京现代,1.8L 143马力 L4,0.0,自动,0.0,6档手自一体变速箱(AT),盘式,多连杆独立悬架,无,标配/标配,标配,205/60 R16,1.0,0.0,标配,0.0,标配,0.0,现代名图 2014款 1.8L 自动智能型GLS,无,无,国四,国四,1.8,1421,16.3,标配,176,143.0,3912元（车价x4%，最低3500元） ,0.0,2014款,L4,0.0,1.0,0.0,0.0,汽油,92号,无,标配,标配,标配,中型车,4.0,无,标配,526,标配,现代名图,无,4门5座三厢车,2770,自然吸气,1.0,4710/1820/1470,标配,0.0,,-,0.0
